vottj001: ['476', '0.19871420', '0.15608466', '0.22177146'] 
ortid001: ['388', '0.17673136', '0.16397849', '0.21006390'] 
stanm004: ['507', '0.18077718', '0.21040189', '0.20986883'] 
mccua001: ['675', '0.18711461', '0.18032786', '0.20872582'] 
gutif001: ['163', '0.21537443', '0.20454545', '0.20596206'] 
cabrm001: ['697', '0.18450081', '0.22005989', '0.20303687'] 
kempm001: ['449', '0.18682596', '0.20168068', '0.20294118'] 
headc001: ['703', '0.19591755', '0.20102215', '0.19625741'] 
encae001: ['651', '0.19704899', '0.19867550', '0.19554925'] 
troum001: ['639', '0.19840848', '0.14808363', '0.19441724'] 
wrigd002: ['672', '0.17867114', '0.17468806', '0.19379069'] 
ruggj001: ['321', '0.19488338', '0.14960630', '0.19215292'] 
braur002: ['682', '0.17598358', '0.17514969', '0.19085571'] 
martf002: ['141', '0.18286778', '0.18421052', '0.19075145'] 
jasoj001: ['368', '0.19055201', '0.17905405', '0.18951242'] 
ceder002: ['195', '0.19105038', '0.19819820', '0.18855932'] 
butlb003: ['682', '0.18370214', '0.18867925', '0.18758883'] 
gorda001: ['722', '0.19824316', '0.12478921', '0.18673331'] 
baxtm001: ['222', '0.18001354', '0.11888112', '0.18563923'] 
soria001: ['620', '0.17964476', '0.22535211', '0.18537860'] 
hilla001: ['675', '0.17789586', '0.14169382', '0.18431002'] 
rizza001: ['369', '0.18026264', '0.17229730', '0.18426104'] 
frank001: ['211', '0.18394092', '0.09929078', '0.18356644'] 
willj004: ['619', '0.18574604', '0.18962723', '0.18330224'] 
bautj002: ['402', '0.19918469', '0.16267942', '0.18329638'] 
poseb001: ['614', '0.19245255', '0.17478992', '0.18284637'] 
hairj002: ['271', '0.18658136', '0.16564417', '0.18157181'] 
reyej001: ['721', '0.17618179', '0.12273642', '0.18153687'] 
zobrb001: ['675', '0.19202098', '0.12500000', '0.18127029'] 
ruizc001: ['422', '0.16868751', '0.17031631', '0.18117978'] 
